,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
284,14.0,Sơn La,2019.0,9.0,18.0,80.0,24.1,24.5,212.3,21.328716,103.914528,2
285,14.0,Sơn La,2019.0,10.0,84.0,79.0,22.8,60.3,203.0,21.328716,103.914528,2
286,14.0,Sơn La,2019.0,11.0,71.0,80.0,19.7,3.3,185.1,21.328716,103.914528,2
287,14.0,Sơn La,2019.0,12.0,23.0,73.0,16.0,13.7,227.6,21.328716,103.914528,2
330,36.0,Nam Định,2017.0,5.0,6.0,82.0,27.1,78.1,154.7,20.25,106.25,1
331,36.0,Nam Định,2017.0,6.0,4.0,80.0,29.8,251.0,144.4,20.25,106.25,1
332,36.0,Nam Định,2017.0,7.0,2.0,84.0,28.9,393.0,107.3,20.25,106.25,1
333,36.0,Nam Định,2017.0,8.0,23.0,85.0,29.1,375.5,125.9,20.25,106.25,1
334,36.0,Nam Định,2017.0,9.0,5.0,87.0,28.7,388.8,148.1,20.25,106.25,1
335,36.0,Nam Định,2017.0,10.0,2.0,83.0,25.1,502.2,89.3,20.25,106.25,1
336,36.0,Nam Định,2017.0,12.0,1.0,77.0,17.5,34.9,79.0,20.25,106.25,1
337,36.0,Nam Định,2018.0,1.0,3.0,84.0,17.7,14.1,26.2,20.25,106.25,1
338,36.0,Nam Định,2018.0,2.0,3.0,78.0,17.0,10.7,42.9,20.25,106.25,1
339,36.0,Nam Định,2018.0,3.0,73.0,85.0,21.8,40.9,93.4,20.25,106.25,1
340,36.0,Nam Định,2018.0,4.0,46.0,86.0,23.7,102.0,81.2,20.25,106.25,1
341,36.0,Nam Định,2018.0,5.0,7.0,82.0,28.8,146.9,244.5,20.25,106.25,1
342,36.0,Nam Định,2018.0,6.0,8.0,75.0,30.4,86.6,174.3,20.25,106.25,1
343,36.0,Nam Định,2018.0,7.0,28.0,82.0,29.3,510.9,129.0,20.25,106.25,1
344,36.0,Nam Định,2018.0,8.0,7.0,87.0,28.4,375.3,108.8,20.25,106.25,1
345,36.0,Nam Định,2018.0,9.0,23.0,82.0,28.1,189.7,144.0,20.25,106.25,1
346,36.0,Nam Định,2018.0,10.0,9.0,82.0,25.5,225.9,146.3,20.25,106.25,1
347,36.0,Nam Định,2018.0,11.0,2.0,82.0,23.6,6.0,137.3,20.25,106.25,1
348,36.0,Nam Định,2018.0,12.0,1.0,85.0,19.1,91.1,103.8,20.25,106.25,1
349,36.0,Nam Định,2019.0,2.0,2.0,88.0,21.9,17.5,86.8,20.25,106.25,1
350,36.0,Nam Định,2019.0,3.0,3.0,89.0,22.0,38.6,44.1,20.25,106.25,1
351,36.0,Nam Định,2019.0,4.0,18.0,87.0,26.7,98.7,106.9,20.25,106.25,1
352,36.0,Nam Định,2019.0,5.0,10.0,85.0,27.7,159.9,128.5,20.25,106.25,1
353,36.0,Nam Định,2019.0,6.0,26.0,77.0,31.3,101.3,208.1,20.25,106.25,1
354,36.0,Nam Định,2019.0,7.0,3.0,77.0,30.8,73.5,176.0,20.25,106.25,1
355,36.0,Nam Định,2019.0,8.0,7.0,85.0,29.0,421.2,145.3,20.25,106.25,1
356,36.0,Nam Định,2019.0,9.0,6.0,78.0,28.4,142.8,195.3,20.25,106.25,1
357,36.0,Nam Định,2019.0,11.0,1.0,80.0,22.8,42.6,128.4,20.25,106.25,1
358,36.0,Nam Định,2019.0,12.0,2.0,76.0,19.2,1.2,146.4,20.25,106.25,1
425,46.0,Huế,2017.0,3.0,16.0,92.0,23.5,47.3,145.1,16.4666648,107.5999976,1
426,46.0,Huế,2017.0,4.0,75.0,88.0,25.8,30.3,169.8,16.4666648,107.5999976,1
427,46.0,Huế,2017.0,5.0,39.0,86.0,27.5,231.5,179.4,16.4666648,107.5999976,1
428,46.0,Huế,2017.0,6.0,93.0,80.0,29.4,106.4,262.1,16.4666648,107.5999976,1
429,46.0,Huế,2017.0,7.0,28.0,85.0,28.1,359.3,194.5,16.4666648,107.5999976,1
430,46.0,Huế,2017.0,8.0,67.0,82.0,28.8,133.9,238.4,16.4666648,107.5999976,1
431,46.0,Huế,2017.0,9.0,62.0,85.0,28.1,216.5,225.7,16.4666648,107.5999976,1
432,46.0,Huế,2017.0,10.0,38.0,90.0,25.2,384.5,98.1,16.4666648,107.5999976,1
433,46.0,Huế,2017.0,11.0,14.0,94.0,22.8,1773.0,63.7,16.4666648,107.5999976,1
434,46.0,Huế,2018.0,1.0,23.0,92.0,20.3,160.3,42.3,16.4666648,107.5999976,1
435,46.0,Huế,2018.0,2.0,195.0,90.0,19.2,47.9,88.2,16.4666648,107.5999976,1
436,46.0,Huế,2018.0,3.0,539.0,88.0,23.0,20.8,156.0,16.4666648,107.5999976,1
437,46.0,Huế,2018.0,4.0,549.0,87.0,24.7,208.1,179.0,16.4666648,107.5999976,1
438,46.0,Huế,2018.0,5.0,90.0,82.0,28.2,24.2,279.0,16.4666648,107.5999976,1
439,46.0,Huế,2018.0,6.0,22.0,80.0,29.1,161.9,191.3,16.4666648,107.5999976,1
440,46.0,Huế,2018.0,7.0,15.0,84.0,28.4,158.1,162.8,16.4666648,107.5999976,1
441,46.0,Huế,2018.0,8.0,76.0,81.0,28.7,22.5,188.0,16.4666648,107.5999976,1
442,46.0,Huế,2018.0,9.0,119.0,85.0,27.7,216.7,232.9,16.4666648,107.5999976,1
443,46.0,Huế,2018.0,10.0,91.0,88.0,25.6,267.2,224.1,16.4666648,107.5999976,1
444,46.0,Huế,2018.0,11.0,60.0,91.0,24.1,484.5,132.3,16.4666648,107.5999976,1
445,46.0,Huế,2018.0,12.0,20.0,93.0,22.4,745.1,77.8,16.4666648,107.5999976,1
446,46.0,Huế,2019.0,1.0,18.0,94.0,20.4,215.2,81.0,16.4666648,107.5999976,1
447,46.0,Huế,2019.0,2.0,642.0,89.0,24.1,0.1,203.9,16.4666648,107.5999976,1
448,46.0,Huế,2019.0,3.0,795.0,89.0,25.5,8.6,157.6,16.4666648,107.5999976,1
449,46.0,Huế,2019.0,4.0,498.0,81.0,28.7,0.7,229.8,16.4666648,107.5999976,1
450,46.0,Huế,2019.0,5.0,122.0,82.0,29.0,125.1,236.0,16.4666648,107.5999976,1
451,46.0,Huế,2019.0,6.0,59.0,74.0,31.1,4.5,293.3,16.4666648,107.5999976,1
452,46.0,Huế,2019.0,7.0,21.0,75.0,29.9,80.7,231.4,16.4666648,107.5999976,1
453,46.0,Huế,2019.0,8.0,25.0,76.0,29.6,213.6,166.0,16.4666648,107.5999976,1
454,46.0,Huế,2019.0,9.0,57.0,89.0,26.8,584.5,147.3,16.4666648,107.5999976,1
455,46.0,Huế,2019.0,10.0,164.0,89.0,26.0,333.3,225.8,16.4666648,107.5999976,1
456,46.0,Huế,2019.0,11.0,35.0,91.0,23.8,376.6,118.8,16.4666648,107.5999976,1
457,46.0,Huế,2019.0,12.0,30.0,90.0,21.4,41.7,99.1,16.4666648,107.5999976,1
500,48.0,Đà Nẵng,2017.0,6.0,9.0,74.0,30.3,33.6,288.3,16.031944,108.220556,1
501,48.0,Đà Nẵng,2017.0,7.0,6.0,80.0,28.6,248.2,188.1,16.031944,108.220556,1
502,48.0,Đà Nẵng,2017.0,8.0,13.0,77.0,29.7,178.7,254.5,16.031944,108.220556,1
503,48.0,Đà Nẵng,2017.0,9.0,31.0,79.0,28.9,198.0,243.9,16.031944,108.220556,1
504,48.0,Đà Nẵng,2017.0,10.0,8.0,83.0,26.7,363.5,133.0,16.031944,108.220556,1
505,48.0,Đà Nẵng,2017.0,11.0,1.0,89.0,24.9,776.6,83.2,16.031944,108.220556,1
506,48.0,Đà Nẵng,2017.0,12.0,1.0,84.0,22.2,163.5,53.5,16.031944,108.220556,1
507,48.0,Đà Nẵng,2018.0,1.0,5.0,86.0,22.3,22.8,56.3,16.031944,108.220556,1
508,48.0,Đà Nẵng,2018.0,2.0,83.0,81.0,21.5,11.9,138.3,16.031944,108.220556,1
