,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude,Group
216,14.0,Sơn La,2012.0,8.0,2.0,84.0,25.2,344.9,215.8,21.328716,103.914528,0
217,14.0,Sơn La,2012.0,10.0,6.0,81.0,22.8,48.7,211.4,21.328716,103.914528,0
218,14.0,Sơn La,2012.0,11.0,2.0,84.0,20.6,44.9,159.9,21.328716,103.914528,0
219,14.0,Sơn La,2012.0,12.0,22.0,81.0,17.4,26.2,166.5,21.328716,103.914528,0
220,14.0,Sơn La,2013.0,1.0,10.0,84.0,14.7,42.9,93.9,21.328716,103.914528,0
221,14.0,Sơn La,2013.0,2.0,29.0,80.0,19.6,13.6,155.2,21.328716,103.914528,0
222,14.0,Sơn La,2013.0,3.0,328.0,68.0,22.3,33.4,229.2,21.328716,103.914528,0
223,14.0,Sơn La,2013.0,4.0,60.0,75.0,23.1,89.2,192.7,21.328716,103.914528,0
224,14.0,Sơn La,2013.0,5.0,19.0,81.0,25.1,183.9,225.0,21.328716,103.914528,0
225,14.0,Sơn La,2013.0,6.0,2.0,83.0,25.1,201.4,184.5,21.328716,103.914528,0
226,14.0,Sơn La,2013.0,9.0,1.0,84.0,23.7,120.4,153.9,21.328716,103.914528,0
227,14.0,Sơn La,2013.0,10.0,4.0,79.0,21.1,22.4,163.1,21.328716,103.914528,0
228,14.0,Sơn La,2013.0,11.0,4.0,79.0,19.6,0.5,129.1,21.328716,103.914528,0
229,14.0,Sơn La,2013.0,12.0,43.0,77.0,13.0,109.3,179.5,21.328716,103.914528,0
230,14.0,Sơn La,2014.0,1.0,83.0,77.0,14.4,1.4,188.4,21.328716,103.914528,0
231,14.0,Sơn La,2014.0,2.0,259.0,72.0,16.8,21.4,183.1,21.328716,103.914528,0
232,14.0,Sơn La,2014.0,3.0,487.0,74.0,21.4,36.5,183.2,21.328716,103.914528,0
233,14.0,Sơn La,2014.0,4.0,100.0,75.0,25.3,75.1,208.8,21.328716,103.914528,0
234,14.0,Sơn La,2014.0,5.0,22.0,75.0,25.8,129.6,242.2,21.328716,103.914528,0
235,14.0,Sơn La,2014.0,6.0,3.0,84.0,25.8,252.1,134.7,21.328716,103.914528,0
236,14.0,Sơn La,2014.0,10.0,2.0,82.0,22.0,29.0,205.1,21.328716,103.914528,0
237,14.0,Sơn La,2014.0,11.0,10.0,85.0,19.8,143.6,149.4,21.328716,103.914528,0
238,14.0,Sơn La,2015.0,1.0,55.0,80.0,14.8,76.3,181.0,21.328716,103.914528,0
239,14.0,Sơn La,2015.0,2.0,115.0,75.0,17.7,1.6,150.1,21.328716,103.914528,0
