,Ma_Tinh,Name,Nam,Thang,So_Diem_Chay,Air_Humidity,Air_Temperature,Rainfull,Sunshine,Latitude,Longitude
202,14.0,Sơn La,2011.0,2.0,93.0,80.0,16.7,13.3,148.9,21.328716,103.914528
203,14.0,Sơn La,2011.0,3.0,43.0,80.0,16.4,108.5,80.5,21.328716,103.914528
204,14.0,Sơn La,2011.0,4.0,98.0,80.0,22.1,106.5,143.3,21.328716,103.914528
205,14.0,Sơn La,2011.0,5.0,25.0,79.0,24.1,136.3,188.2,21.328716,103.914528
206,14.0,Sơn La,2011.0,6.0,5.0,85.0,25.5,190.9,136.7,21.328716,103.914528
207,14.0,Sơn La,2011.0,7.0,4.0,84.0,25.5,215.4,190.5,21.328716,103.914528
208,14.0,Sơn La,2011.0,8.0,1.0,83.0,25.1,167.8,196.4,21.328716,103.914528
209,14.0,Sơn La,2011.0,11.0,20.0,82.0,18.7,5.7,191.3,21.328716,103.914528
210,14.0,Sơn La,2011.0,12.0,32.0,75.0,14.7,2.1,140.6,21.328716,103.914528
211,14.0,Sơn La,2012.0,1.0,20.0,85.0,14.2,90.5,90.2,21.328716,103.914528
212,14.0,Sơn La,2012.0,2.0,324.0,80.0,16.7,6.0,145.3,21.328716,103.914528
213,14.0,Sơn La,2012.0,3.0,469.0,72.0,20.1,48.7,159.9,21.328716,103.914528
214,14.0,Sơn La,2012.0,4.0,173.0,71.0,24.3,114.0,248.7,21.328716,103.914528
215,14.0,Sơn La,2012.0,5.0,37.0,75.0,26.1,180.6,213.3,21.328716,103.914528
216,14.0,Sơn La,2012.0,8.0,2.0,84.0,25.2,344.9,215.8,21.328716,103.914528
217,14.0,Sơn La,2012.0,10.0,6.0,81.0,22.8,48.7,211.4,21.328716,103.914528
218,14.0,Sơn La,2012.0,11.0,2.0,84.0,20.6,44.9,159.9,21.328716,103.914528
219,14.0,Sơn La,2012.0,12.0,22.0,81.0,17.4,26.2,166.5,21.328716,103.914528
220,14.0,Sơn La,2013.0,1.0,10.0,84.0,14.7,42.9,93.9,21.328716,103.914528
