,Ma_Tinh,Thang,So_Diem_Chay,Nam
1341,25,4,15,2017
1342,25,5,19,2017
1343,25,6,6,2017
1344,25,7,4,2017
1345,25,8,10,2017
1346,25,9,24,2017
1347,25,10,33,2017
1348,25,11,29,2017
1349,25,12,64,2017
1350,25,1,27,2018
1351,25,2,146,2018
1352,25,3,294,2018
1353,25,4,217,2018
1354,25,5,20,2018
1355,25,6,22,2018
1356,25,7,11,2018
1357,25,8,5,2018
1358,25,9,48,2018
1359,25,10,24,2018
1360,25,11,42,2018
1361,25,12,42,2018
1362,25,1,9,2019
1363,25,2,148,2019
1364,25,3,77,2019
1365,25,4,113,2019
1366,25,5,19,2019
1367,25,6,6,2019
1368,25,7,2,2019
1369,25,8,10,2019
1370,25,9,25,2019
1371,25,10,12,2019
1372,25,11,15,2019
1373,25,12,1,2019
1374,25,1,4,2020
1375,25,2,164,2020
1376,25,3,2,2020
1377,25,5,9,2020
1378,25,6,9,2020
1379,26,12,1,2011
1380,26,4,1,2012
1381,26,11,1,2013
1382,26,12,5,2013
1383,26,1,4,2014
1384,26,12,1,2014
1385,26,1,2,2015
1386,26,4,1,2015
1387,26,1,1,2016
1388,26,2,3,2016
1389,26,3,2,2016
1390,26,10,4,2016
1391,26,11,1,2016
1392,26,12,3,2016
1393,26,1,1,2017
1394,26,2,2,2017
1395,26,3,1,2017
1396,26,4,2,2017
1397,26,5,14,2017
1398,26,6,9,2017
1399,26,7,8,2017
1400,26,8,19,2017
1401,26,9,10,2017
1402,26,10,2,2017
1403,26,11,4,2017
1404,26,12,21,2017
1405,26,1,4,2018
1406,26,2,12,2018
1407,26,3,29,2018
1408,26,4,59,2018
1409,26,5,4,2018
1410,26,6,18,2018
1411,26,7,10,2018
1412,26,8,4,2018
1413,26,9,27,2018
1414,26,10,8,2018
1415,26,11,6,2018
1416,26,12,8,2018
1417,26,1,5,2019
1418,26,2,12,2019
1419,26,3,14,2019
1420,26,4,32,2019
1421,26,5,6,2019
1422,26,6,7,2019
1423,26,7,1,2019
1424,26,8,3,2019
1425,26,9,4,2019
1426,26,10,7,2019
1427,26,11,1,2019
1428,26,12,3,2019
1429,26,5,2,2020
1430,26,6,9,2020
1431,26,8,1,2020
1432,27,6,1,2011
1433,27,6,1,2012
1434,27,6,1,2013
1435,27,6,1,2014
1436,27,6,1,2015
1437,27,6,1,2016
1438,27,5,16,2017
1439,27,6,25,2017
1440,27,7,48,2017
1441,27,8,39,2017
1442,27,9,31,2017
1443,27,10,22,2017
1444,27,11,16,2017
1445,27,12,14,2017
1446,27,1,5,2018
1447,27,2,38,2018
1448,27,3,90,2018
1449,27,4,91,2018
1450,27,5,22,2018
1451,27,6,51,2018
1452,27,7,53,2018
1453,27,8,18,2018
1454,27,9,33,2018
1455,27,10,14,2018
1456,27,11,15,2018
1457,27,12,10,2018
1458,27,1,2,2019
1459,27,2,14,2019
1460,27,3,48,2019
1461,27,4,90,2019
1462,27,5,11,2019
1463,27,6,19,2019
1464,27,7,15,2019
1465,27,8,30,2019
1466,27,9,28,2019
1467,27,10,12,2019
1468,27,11,18,2019
1469,27,12,1,2019
1470,27,1,1,2020
1471,27,4,2,2020
1472,27,5,7,2020
1473,27,6,12,2020
1474,27,8,1,2020
1475,30,1,1,2011
1476,30,4,1,2011
1477,30,1,1,2012
1478,30,4,1,2012
1479,30,1,1,2013
1480,30,4,1,2013
1481,30,1,1,2014
1482,30,4,1,2014
1483,30,1,1,2015
1484,30,4,1,2015
1485,30,1,1,2016
1486,30,5,17,2016
1487,30,6,30,2016
1488,30,7,24,2016
1489,30,8,33,2016
1490,30,9,45,2016
1491,30,10,41,2016
1492,30,11,37,2016
1493,30,12,36,2016
1494,30,1,1,2017
1495,30,5,17,2017
1496,30,6,30,2017
1497,30,7,24,2017
1498,30,8,33,2017
1499,30,9,45,2017
1500,30,10,41,2017
1501,30,11,37,2017
1502,30,12,36,2017
1503,30,1,8,2018
1504,30,2,32,2018
1505,30,3,308,2018
1506,30,4,134,2018
1507,30,5,40,2018
1508,30,6,30,2018
1509,30,7,33,2018
1510,30,8,31,2018
1511,30,9,86,2018
1512,30,10,54,2018
1513,30,11,76,2018
1514,30,12,21,2018
1515,30,1,5,2019
1516,30,2,49,2019
1517,30,3,33,2019
1518,30,4,77,2019
1519,30,5,19,2019
1520,30,6,15,2019
1521,30,7,31,2019
1522,30,8,31,2019
1523,30,9,87,2019
1524,30,10,81,2019
1525,30,11,52,2019
1526,30,12,11,2019
1527,30,1,34,2020
1528,30,3,2,2020
1529,30,4,6,2020
1530,30,5,18,2020
1531,30,6,21,2020
1532,30,7,3,2020
1533,30,8,7,2020
1534,31,10,1,2011
1535,31,10,1,2012
1536,31,10,1,2013
1537,31,12,1,2014
1538,31,12,1,2015
1539,31,12,1,2016
1540,31,2,1,2017
1541,31,5,7,2017
1542,31,6,12,2017
1543,31,7,14,2017
1544,31,8,17,2017
1545,31,9,13,2017
1546,31,10,10,2017
1547,31,11,26,2017
1548,31,12,22,2017
1549,31,1,5,2018
1550,31,2,16,2018
1551,31,3,132,2018
1552,31,4,97,2018
1553,31,5,15,2018
1554,31,6,9,2018
1555,31,7,13,2018
1556,31,8,8,2018
1557,31,9,22,2018
1558,31,10,36,2018
1559,31,11,33,2018
1560,31,12,19,2018
1561,31,1,2,2019
1562,31,2,27,2019
1563,31,3,21,2019
1564,31,4,46,2019
1565,31,5,10,2019
1566,31,6,2,2019
1567,31,7,8,2019
1568,31,8,3,2019
1569,31,9,20,2019
1570,31,10,32,2019
1571,31,11,14,2019
1572,31,12,2,2019
1573,31,1,2,2020
1574,31,5,2,2020
1575,31,6,2,2020
1576,33,5,8,2011
1577,33,6,4,2011
1578,33,7,15,2011
1579,33,9,3,2011
1580,33,10,3,2011
1581,33,11,5,2011
1582,33,12,3,2011
1583,33,5,8,2012
1584,33,6,4,2012
1585,33,7,15,2012
1586,33,9,3,2012
1587,33,10,3,2012
1588,33,11,5,2012
1589,33,12,3,2012
1590,33,5,8,2013
1591,33,6,4,2013
1592,33,7,15,2013
1593,33,9,3,2013
1594,33,10,3,2013
1595,33,11,5,2013
1596,33,12,3,2013
1597,33,5,8,2014
1598,33,6,4,2014
1599,33,7,15,2014
1600,33,9,3,2014
1601,33,10,3,2014
1602,33,11,5,2014
1603,33,12,3,2014
1604,33,5,8,2015
1605,33,6,4,2015
1606,33,7,15,2015
1607,33,9,3,2015
1608,33,10,3,2015
1609,33,11,5,2015
1610,33,12,3,2015
1611,33,5,8,2016
1612,33,6,4,2016
1613,33,7,15,2016
1614,33,9,3,2016
1615,33,10,3,2016
1616,33,11,5,2016
1617,33,12,3,2016
1618,33,5,8,2017
1619,33,6,4,2017
1620,33,7,15,2017
1621,33,9,3,2017
1622,33,10,3,2017
1623,33,11,5,2017
1624,33,12,3,2017
1625,33,1,1,2018
1626,33,2,1,2018
1627,33,3,74,2018
1628,33,4,44,2018
1629,33,5,4,2018
1630,33,6,14,2018
1631,33,7,17,2018
1632,33,8,2,2018
1633,33,9,7,2018
1634,33,10,4,2018
1635,33,11,1,2018
1636,33,1,2,2019
1637,33,2,5,2019
1638,33,4,9,2019
1639,33,5,1,2019
1640,33,6,5,2019
1641,33,7,2,2019
1642,33,8,1,2019
1643,33,9,4,2019
1644,33,10,2,2019
1645,33,11,3,2019
1646,33,4,1,2020
1647,33,5,6,2020
1648,33,6,6,2020
1649,33,8,1,2020
1650,34,5,6,2011
1651,34,6,16,2011
1652,34,7,12,2011
1653,34,8,12,2011
1654,34,9,2,2011
1655,34,10,2,2011
1656,34,12,3,2011
1657,34,5,6,2012
1658,34,6,16,2012
1659,34,7,12,2012
1660,34,8,12,2012
1661,34,9,2,2012
1662,34,10,2,2012
1663,34,12,3,2012
1664,34,5,6,2013
1665,34,6,16,2013
1666,34,7,12,2013
1667,34,8,12,2013
1668,34,9,2,2013
1669,34,10,2,2013
1670,34,12,3,2013
1671,34,5,6,2014
1672,34,6,16,2014
1673,34,7,12,2014
1674,34,8,12,2014
1675,34,9,2,2014
1676,34,10,2,2014
1677,34,12,3,2014
1678,34,5,6,2015
1679,34,6,16,2015
1680,34,7,12,2015
1681,34,8,12,2015
1682,34,9,2,2015
1683,34,10,2,2015
1684,34,12,3,2015
1685,34,5,6,2016
1686,34,6,16,2016
1687,34,7,12,2016
1688,34,8,12,2016
1689,34,9,2,2016
1690,34,10,2,2016
1691,34,12,3,2016
1692,34,5,6,2017
1693,34,6,16,2017
1694,34,7,12,2017
1695,34,8,12,2017
1696,34,9,2,2017
1697,34,10,2,2017
1698,34,12,3,2017
1699,34,1,5,2018
1700,34,2,3,2018
1701,34,3,45,2018
1702,34,4,28,2018
1703,34,5,8,2018
1704,34,6,5,2018
1705,34,7,10,2018
1706,34,8,2,2018
1707,34,9,22,2018
1708,34,10,14,2018
1709,34,11,4,2018
1710,34,3,3,2019
1711,34,4,30,2019
1712,34,5,5,2019
1713,34,7,2,2019
1714,34,8,8,2019
1715,34,9,5,2019
1716,34,10,4,2019
1717,34,11,1,2019
1718,34,12,1,2019
1719,34,6,2,2020
1720,34,8,1,2020
1721,35,5,6,2011
1722,35,6,4,2011
1723,35,7,13,2011
1724,35,8,10,2011
1725,35,9,16,2011
1726,35,10,17,2011
1727,35,11,26,2011
1728,35,12,21,2011
1729,35,5,6,2012
1730,35,6,4,2012
1731,35,7,13,2012
1732,35,8,10,2012
1733,35,9,16,2012
1734,35,10,17,2012
1735,35,11,26,2012
1736,35,12,21,2012
1737,35,5,6,2013
1738,35,6,4,2013
1739,35,7,13,2013
1740,35,8,10,2013
1741,35,9,16,2013
1742,35,10,17,2013
1743,35,11,26,2013
1744,35,12,21,2013
1745,35,5,6,2014
1746,35,6,4,2014
1747,35,7,13,2014
1748,35,8,10,2014
1749,35,9,16,2014
1750,35,10,17,2014
1751,35,11,26,2014
1752,35,12,21,2014
1753,35,5,6,2015
1754,35,6,4,2015
1755,35,7,13,2015
1756,35,8,10,2015
1757,35,9,16,2015
1758,35,10,17,2015
1759,35,11,26,2015
1760,35,12,21,2015
1761,35,5,6,2016
1762,35,6,4,2016
1763,35,7,13,2016
1764,35,8,10,2016
1765,35,9,16,2016
1766,35,10,17,2016
1767,35,11,26,2016
1768,35,12,21,2016
1769,35,5,6,2017
1770,35,6,4,2017
1771,35,7,13,2017
1772,35,8,10,2017
1773,35,9,16,2017
1774,35,10,17,2017
1775,35,11,26,2017
1776,35,12,21,2017
1777,35,1,6,2018
1778,35,2,17,2018
1779,35,3,133,2018
1780,35,4,70,2018
1781,35,5,15,2018
1782,35,6,23,2018
1783,35,7,31,2018
